PDF 文件名,标题,波段信息,材料,设计目的
2021自然光子学曼彻斯特大学基于多光谱石墨烯的电光表面，具有从可见光到微波波长的可逆可调性.pdf,Multispectral graphene-based electro-optical surfaces with reversible tunability from visible to microwave wavelengths,可见光至微波波段，300nm-3mm,"MLG,LDPE,NMC,PE",这篇文章报道了一种基于石墨烯的电光装置，通过锂的电插层实现了从可见光到微波的前所未有的光学可调性。该装置具有非易失性和可逆性，可实现多光谱操作，包括显示、伪装和热管理等应用。通过设计多层结构，实现了可见光颜色和红外发射率的独立调控，能够在复杂环境中动态适应背景，同时具备高达90%的红外发射率调节范围。这项研究为可编程智能光学表面提供了一种创新的解决方案，有望在许多科学和工程领域得到应用。 
2021航空材料学报-光谱选择性辐射红外隐身材料研究进展.pdf,光谱选择性辐射红外隐身材料研究进展,大气透明窗口波段 3–5 μm ， 8–14 μm,"SiO2,Ge33As12Se55,Ge,ZnS,Ag,PE,Te,Au,Cu,CeO2,TiO2,ZrO2,Al2O3,ZnO,Fe2O3,MgO,CaO,BaO,LiF,NaCl,KCl,MgCl2,CaCl2,BaCl2,Li2O,Na2O,K2O,MgO,CaO,BaO,LiF,NaCl,KCl,MgCl2,CaCl2,BaCl2,Li2O,Na2O,K2O",这篇文章介绍了光谱选择性辐射红外隐身材料的研究进展，其目的是满足武器装备红外隐身和辐射散热需求。通过梳理技术发展脉络，文章介绍了基于光子晶体、频率选择表面以及Fabry-Perot腔的三代光谱选择性辐射结构。研究表明，第一代光子晶体能实现中远红外双波段隐身和多波段兼容隐身，但存在非窗口波段光谱曲线不稳定、辐射散热效果有待提高等问题；第二代频率选择表面具有较好的光谱选择性和可设计性，但实际性能与理论值有差距，加工工艺复杂；第三代Fabry-Perot腔结构简单，光谱选择性和可设计性好，红外隐身性能优异，是最具实际应用潜力的材料体系，但耐温性能有限。未来该材料应朝着工艺更简单、高温稳定性更强以及多波段兼容的方向发展。 
2021补充材料-science-Scalable thermochromic smart windows with passiveradiative cooling regulation.pdf,Scalable thermochromic smart windows with passive radiative cooling regulation,否,"VO2,PMMA,ITO",这篇文章介绍了可扩展热致变色智能窗的制备及其被动辐射冷却调控的补充材料。通过旋涂法制备VO2-PMMA多层结构，研究其光学和热学性能，模拟节能效果。结果表明，该智能窗在不同气候区均有节能潜力，能实现红外发射率的有效调控，为建筑节能提供了新途径。 
2021高分子科学学报马萨诸塞大学用于灵活光控制和热管理的可持续聚合物材料.pdf,Sustainable polymer materials for flexible light control and thermal management,可见光至近红外波段，400-2500nm,"CNT, PEDOT, PPy, PMMA, PAN, PNIPAm",这篇文章介绍了用于柔性光控和热管理的可持续聚合物材料，探讨了其在加热、冷却、伪装和热管理等方面的应用。共轭聚合物可作为低成本的光热剂和加热元件，用于太阳能热捕获和焦耳加热；通过调节表面形态，可实现聚合物材料对可见光和红外光的选择性透射和反射，达到冷却效果；利用共轭聚合物的等离子体特性和热致变色原理，可开发自适应电致变色和热致变色器件，实现动态伪装和热管理。研究表明，聚合物材料在光热控制领域具有广阔的应用前景，有望成为传统纳米材料的环保替代品。 
2022-JACS-东京大学-多孔MgAl2O4陶瓷对辐射传递的抑制.pdf,Radiation heating test and development of porous MgAl2O4 ceramics with high thermal shielding effect based on Mie theory,中红外波段，1-5μm,"MgAl2O4,Al2O3,SiO2",这篇文章研究了基于米氏理论的多孔MgAl2O4陶瓷的辐射加热特性，通过红外灯加热测试、有限元分析和微观结构研究，揭示了其低发射率对辐射传递的抑制作用。结果表明，多孔MgAl2O4陶瓷在4mm厚度时能达到纤维绝缘体约70%的隔热效果，其低热通量源于低发射率而非内部散射。有限元分析结果与实验相符，提高烧结温度可减少散射介质数量，但增强了颗粒散射强度，使材料兼具隔热、强度和耐热性，有望用于工业炉内衬和航天热防护系统。 
2022-Nature reviews-辐射制冷.pdf,Photonics and thermodynamics concepts in radiative cooling,大气透明窗口波段 8–13μm,"Ag,SiO2,HfO2,Ge",这篇文章讨论了辐射冷却过程背后的基本光子学和热力学概念，辐射冷却作为可再生能源研究的一个新方向，在许多领域有重要应用潜力。通过设计具有特定发射率的结构可实现日间辐射冷却，如优化发射率能使冷却器温度大幅降低，还可用于太阳能电池冷却、控制室外有色物体辐射热负荷及室内人体冷却等。此外，利用地球向外层空间的热辐射来发电也有相关研究和应用，不过目前该领域还处于早期发展阶段，未来还有很大改进空间。 
2022-NE-人眼仿生-柴扬.pdf,Bioinspired in-sensor visual adaptation for accurate perception,否,"MoS2,Al2O3,SiO2,Si,Cr,Au",这篇文章报道了一种受生物启发的视觉传感器，该传感器基于底部栅极光晶体管阵列，通过在二硫化钼（MoS2）表面引入电荷陷阱态，实现了在不同光照条件下对器件光敏性的动态调制。这种光强依赖特性符合Weber定律，能在像素级别对不同光照进行高度局部化和动态调制，有效感知范围高达199dB，实现了暗视觉和明视觉适应以及图像对比度增强，为机器视觉应用提供了一种创新解决方案。 
2022-NE-人眼仿生-柴扬SI.pdf,Bioinspired in-sensor visual adaptation for accurate perception,否,"MoS2,Al2O3",这篇文章提出了一种受生物启发的传感器内视觉适应技术，旨在实现准确感知。通过对二硫化钼（MoS2）进行紫外光臭氧（UVO）处理等一系列操作，引入更多捕获中心，实现了光晶体管性能的调控，如增大滞后窗口、增强光门控效应和持续光电导效应等，展现出更明显的适应功能和更快的视觉适应速度，为准确感知提供了新途径。 
2022-双相高熵陶瓷形成-Single-phase forming ability of high-entropy ceramics from a size disorder perspective A case study of (La0.2Eu0.2Gd0.2Y0.2Yb0.2)2Zr2O7.pdf,Single-phase forming ability of high-entropy ceramics from a size disorder perspective: A case study of (La0.2Eu0.2Gd0.2Y0.2Yb0.2)2Zr2O7,否,"La2O3,Eu2O3,Gd2O3,Y2O3,Yb2O3,ZrO2",这篇文章通过设计并合成一系列高熵和中熵稀土锆酸盐陶瓷，研究了高熵稀土锆酸盐陶瓷（HE-RE2Zr2O7）的单相形成能力。结果表明，单相形成能力更取决于阳离子半径差而非熵值，临界值约为5.2%。双相固溶体的形成过程本质上是由半径差异较大的RE3?的摇椅效应引起的尺寸无序驱动的晶格重建过程。该研究为预测高熵相的形成开辟了新途径。 
2022-张文婷-硕-硼化铪薄膜的制备与红外辐射特性研究.pdf,硼化铪薄膜的制备与红外辐射特性研究,红外波段，2.5μm-25μm ,"HfB2,Si",这篇文章以 HfB2薄膜为研究对象，通过第一性原理计算结合 Drude -Lorentz 色散模型探究其红外低发射率特性，研究了溅射功率、薄膜厚度及 Si 基底粗糙度对 HfB2薄膜红外辐射性能的影响。结果表明，调控 HfB2薄膜电阻率可降低发射率，制备的薄膜平均发射率为 0.15；随着 Si 基底粗糙度增加，HfB2薄膜在保持低红外发射率的同时，镜面反射率降低。该研究为红外隐身材料的发展提供了新的思路和方法。 
2022-沈涛-硕-基于高光谱探测的仿植物叶片材料研究.pdf,基于高光谱探测的仿植物叶片材料研究,可见光至近红外波段，400-2500nm,"PV A,Cr2O3",这篇硕士学位论文围绕基于高光谱探测的仿植物叶片材料展开研究。目的是应对高光谱探测技术，设计高光谱隐身的仿生伪装材料。通过研究植物叶片光谱特征及影响因素，制备出以聚乙烯醇水凝胶为主体、氧化铬为绿色颜料的仿叶片材料。效果上，该材料光谱与绿色叶片光谱相关系数在0.82 - 0.85之间，400 - 2500nm波段光谱曲线能较好进入GJB光谱通道，基本实现“同色同谱”，具备良好的高光谱隐身能力，为仿叶片材料设计提供了理论与实践支持。 
2022acs energy lett-量子计算用于辐射制冷设计.pdf,Solar?Thermal Water Evaporation: A Review,否,"Au,Ag,TiN,CNT,Fe3O4,TiO2,graphitized carbon black,carbon black,graphene,reduced graphene oxide,graphene oxide,wood,cellulose,polystyrene foam,expanded polyethylene foam,aerogel,polyvinylidene fluoride,melamine foam,PDMS foam,polyurethane sponge",这篇文章对太阳能-水蒸发（SWE）进行了全面综述，涵盖材料研究、热管理及应用等方面。通过文本挖掘分析领域内超100篇论文摘要，发现该领域主要聚焦材料、结构和装置设计以提高效率及实现不同应用。在材料研究中，探讨了分散和表面吸收器两类太阳能吸收材料，比较了金属和碳基纳米颗粒等在SWE中的应用；介绍了亲水双层结构和专用水传输通道结构等热管理方式及多种隔热材料；阐述了SWE在海水淡化、能源生成等方面的应用，并分析了其面临的障碍。文章强调了一些创新成果，如过热蒸汽产生等，有望推动SWE的实际应用，为该领域未来研究提供了方向。 
2022ACS energy letter的支撑材料.pdf,High-Performance Transparent Radiative Cooler Designed by Quantum Computing,否,"SiO2,Si3N4,Al2O3,TiO2,PDMS,UV-fused silica",这篇文章介绍了一种通过量子计算设计的高性能透明辐射冷却器，阐述了其制备方法、光学和形态表征手段，并通过实地实验验证其效果。文章提出利用量子退火辅助主动学习方法优化透明辐射冷却器的结构，经与传统针优化方法对比，显示出该方法在降低品质因数方面的优势，且优化后的透明辐射冷却器在光学性能上优于商业镀银玻璃，为高性能透明辐射冷却器的设计提供了创新方案。 
2022Adv Funct Materials -成电-基于液态过渡的宽带光调制实现自适应热管理.pdf,Vapor–Liquid Transition-Based Broadband Light Modulation for Self-Adaptive Thermal Management,大气长波红外窗口波段，8–13 μm,"SiO2,CCl4,PS,PE,PTFE,Al",这篇文章报道了一种自适应热管理装置（STMD），该装置通过利用多孔结构中温度差导致的气-液转变来调节太阳光的透过率和反射率，从而实现辐射冷却。实验和光学模拟结果表明，该装置在不同天气条件下均能有效调控室内温度，具有高调制能力、快速切换速度以及加热和冷却功能一体化等优点，为智能温控窗户等环保可持续建筑组件提供了新的解决方案。 
2022AFM-光电所罗先刚-大面积红外雷达兼容隐身材料.pdf,"Large-Area Low-Cost Multiscale-Hierarchical Metasurfaces for Multispectral Compatible Camouflage of Dual-Band Lasers, Infrared and Microwave",近红外至中红外波段，0.9–1.2 μm、3–5 μm、8–14 μm、9–12 μm；微波波段，2.7–26 GHz,"Au,ITO,PET",这篇文章提出了一种大面积低成本的多尺度分层超表面（MHM），用于实现双波段激光、红外和微波的多光谱兼容伪装。该超表面由全金属超表面阵列（AMMA）和微波吸收器组成，通过设计多层结构，实现了在0.9-1.2μm和9-12μm波段的低反射率（<0.2）、在3-5μm和8-14μm波段的低红外发射率（<0.2）以及在2.7-26GHz波段的高吸收效率（>90%）。此外，该超表面还具有广角和偏振无关的特性，为多光谱伪装领域的工程应用提供了一种有前途的解决方案。
